,provnum,name,address,city,state,zip,county,bedcert,ownership,employee_cases,resident_cases,resident_deaths,cna_hprd,lpn_hprd,rn_hprd,total_hprd,full_address_from_csv,google_address,google_long,google_lat
169,395537,ROOSEVELT REHABILITATION AND HEALTHCARE CENTER,7800 BUSTLETON AVENUE,PHILADELPHIA,PA,19152,PHILADELPHIA,240,For profit - Partnership,8,67,12,2.27584,0.98794,0.53684,3.80062,"7800 BUSTLETON AVENUE, PHILADELPHIA, PA, , 19152, USA","7800 Bustleton Ave, Philadelphia, PA 19152, USA",-75.05427,40.055444
170,395446,TOWNE MANOR EAST,2004 OLD ARCH ROAD,NORRISTOWN,PA,19401,MONTGOMERY,120,Non profit - Corporation,*,29,6,1.90464,0.41489,0.71958,3.03911,"2004 OLD ARCH ROAD, NORRISTOWN, PA, , 19401, USA","2004 Old Arch Rd, East Norriton, PA 19401, USA",-75.32112959999999,40.1286401
171,395760,MANORCARE HEALTH SERVICES-ALLENTOWN,1265 SOUTH CEDAR CREST BLVD,ALLENTOWN,PA,18103,LEHIGH,166,Non profit - Corporation,12,40,8,1.88962,0.73748,0.58126,3.20836,"1265 SOUTH CEDAR CREST BLVD, ALLENTOWN, PA, , 18103, USA","1265 S Cedar Crest Blvd, Allentown, PA 18103, USA",-75.5168879,40.5636867
172,395821,LITTLE FLOWER MANOR,1201 SPRINGFIELD ROAD,DARBY,PA,19023,DELAWARE,127,Non profit - Corporation,11,25,6,2.62051,0.29072,1.0496,3.96083,"1201 SPRINGFIELD ROAD, DARBY, PA, , 19023, USA","1201 Springfield Rd, Darby, PA 19023, USA",-75.2736304,39.9232155
173,395782,FAIRVIEW NURSING AND REHABILITATION CENTER,184 BETHLEHEM PIKE,PHILADELPHIA,PA,19118,PHILADELPHIA,176,For profit - Corporation,0,65,8,,,,,"184 BETHLEHEM PIKE, PHILADELPHIA, PA, , 19118, USA","184 Bethlehem Pike, Philadelphia, PA 19118, USA",-75.2091159,40.0842757
174,395465,CEDARBROOK SENIOR CARE AND REHABILITATION,350 S. CEDARBROOK ROAD,ALLENTOWN,PA,18104,LEHIGH,670,Government - County,70,177,30,2.33613,0.81386,0.69943,3.84942,"350 S. CEDARBROOK ROAD, ALLENTOWN, PA, , 18104, USA","350 S Cedarbrook Rd, Allentown, PA 18104, USA",-75.5441912,40.576305
175,395852,CLIVEDEN NURSING AND REHABILITATION CENTER,6400 GREENE STREET,PHILADELPHIA,PA,19119,PHILADELPHIA,180,For profit - Corporation,0,27,8,1.98611,0.85787,0.47576,3.3197400000000004,"6400 GREENE STREET, PHILADELPHIA, PA, , 19119, USA","6400 Greene St, Philadelphia, PA 19119, USA",-75.18813089999999,40.0410218
176,395311,BRYN MAWR EXTENDED CARE CENTER,956 RAILROAD AVENUE,BRYN MAWR,PA,19010,DELAWARE,160,For profit - Corporation,7,22,7,1.80488,0.8631200000000001,0.40471,3.07271,"956 RAILROAD AVENUE, BRYN MAWR, PA, , 19010, USA","956 Railroad Ave, Bryn Mawr, PA 19010, USA",-75.317487,40.0156405
177,395815,ST. MARTHA CENTER FOR REHABILITATION & HEALTHCARE,470 MANOR AVE,DOWNINGTOWN,PA,19335,CHESTER,120,For profit - Corporation,17,48,5,1.99784,0.8372,0.70807,3.54311,"470 MANOR AVE, DOWNINGTOWN, PA, , 19335, USA","470 Manor Ave, Downingtown, PA 19335, USA",-75.718564,40.00949
178,395651,BIRCHWOOD HEALTHCARE AND REHABILITATION CENTER,395 MIDDLE ROAD,NANTICOKE,PA,18634,LUZERNE,121,For profit - Corporation,0,31,5,1.83215,0.72242,0.97386,3.52843,"395 MIDDLE ROAD, NANTICOKE, PA, , 18634, USA","395 Middle Rd, Nanticoke, PA 18634, USA",-75.9858726,41.1910822
179,395117,"LUTHERAN HOME AT TOPTON, THE",ONE SOUTH HOME AVENUE,TOPTON,PA,19562,BERKS,194,Non profit - Corporation,10,41,8,,,,,"ONE SOUTH HOME AVENUE, TOPTON, PA, , 19562, USA","1 S Home Ave, Topton, PA 19562, USA",-75.6985802,40.4957054
180,395628,RENAISSANCE HEALTHCARE & REHABILITATION CENTER,4712 CHESTER AVENUE,PHILADELPHIA,PA,19143,PHILADELPHIA,123,For profit - Corporation,0,19,5,2.2254400000000003,1.12534,0.60155,3.95232,"4712 CHESTER AVENUE, PHILADELPHIA, PA, , 19143, USA","4712 Chester Ave, Philadelphia, PA 19143, USA",-75.2138569,39.9447782
181,395016,HANOVER HALL,267 FREDERICK STREET,HANOVER,PA,17331,YORK,152,For profit - Corporation,5,18,6,2.09327,1.15249,0.6573399999999999,3.9031,"267 FREDERICK STREET, HANOVER, PA, , 17331, USA","267 Frederick St, Hanover, PA 17331, USA",-76.9886526,39.7975491
182,395558,ST. MONICA CENTER FOR REHABILITATION & HEALTHCARE,2509 SOUTH FOURTH STREET,PHILADELPHIA,PA,19148,PHILADELPHIA,180,For profit - Corporation,0,24,7,1.96706,0.94356,0.7189,3.62953,"2509 SOUTH FOURTH STREET, PHILADELPHIA, PA, , 19148, USA","2509 S 4th St, Philadelphia, PA 19148, USA",-75.154082,39.91661149999999
183,395223,"GARDENS AT WEST SHORE, THE",770 POPLAR CHURCH ROAD,CAMP HILL,PA,17011,CUMBERLAND,309,For profit - Corporation,26,80,12,1.87166,0.84265,0.32052,3.03483,"770 POPLAR CHURCH ROAD, CAMP HILL, PA, , 17011, USA","770 Poplar Church Rd, Camp Hill, PA 17011, USA",-76.920596,40.2562785
184,395582,MOUNTAIN CITY NURSING & REHAB CTR,403 HAZLE TOWNSHIP BOULEVARD,HAZLETON,PA,18202,LUZERNE,297,For profit - Corporation,21,79,11,2.09327,0.83089,0.32392,3.24807,"403 HAZLE TOWNSHIP BOULEVARD, HAZLETON, PA, , 18202, USA","401-403 Hazle Twp Blvd, Hazleton, PA 18202, USA",-75.98588099999999,40.978841
185,395138,MIFFLIN CENTER,500 EAST PHILADELPHIA AVENUE,SHILLINGTON,PA,19607,BERKS,136,For profit - Partnership,9,48,5,1.99863,1.0299,0.47517,3.5037,"500 EAST PHILADELPHIA AVENUE, SHILLINGTON, PA, , 19607, USA","500 Philadelphia Ave, Reading, PA 19607, USA",-75.9592511,40.2977308
186,395370,LUTHER WOODS NURSING AND REHABILITATION CENTER,313 COUNTY LINE ROAD,HATBORO,PA,19040,MONTGOMERY,140,For profit - Corporation,*,17,5,1.98172,0.54284,0.64579,3.17035,"313 COUNTY LINE ROAD, HATBORO, PA, , 19040, USA","313 County Line Rd, Hatboro, PA 19040, USA",-75.11829759999999,40.1987047
187,395527,MANORCARE HEALTH SERVICES-BETHLEHEM 2029,2029 WESTGATE DRIVE,BETHLEHEM,PA,18017,LEHIGH,217,Non profit - Corporation,31,137,7,1.77755,0.67847,0.46834,2.92437,"2029 WESTGATE DRIVE, BETHLEHEM, PA, , 18017, USA","2029 Westgate Dr, Bethlehem, PA 18017, USA",-75.408332,40.6402848
188,395472,MANORCARE HEALTH SERVICES-LEBANON,900 TUCK STREET,LEBANON,PA,17042,LEBANON,159,Non profit - Other,7,23,5,1.96073,0.84335,0.43504,3.23911,"900 TUCK STREET, LEBANON, PA, , 17042, USA","900 Tuck St, Lebanon, PA 17042, USA",-76.42028789999999,40.3179388
189,395865,MAPLEWOOD NURSING AND REHABILITATION CENTER,125 W SCHOOLHOUSE LANE,PHILADELPHIA,PA,19144,PHILADELPHIA,180,For profit - Corporation,0,35,5,2.01495,0.81757,0.51257,3.3450900000000003,"125 W SCHOOLHOUSE LANE, PHILADELPHIA, PA, , 19144, USA","125 W School House Ln, Philadelphia, PA 19144, USA",-75.1754687,40.0326252
190,395134,INGLIS HOUSE,2600 BELMONT AVENUE,PHILADELPHIA,PA,19131,PHILADELPHIA,252,Non profit - Corporation,40,45,6,3.7991,1.39097,0.63684,5.82691,"2600 BELMONT AVENUE, PHILADELPHIA, PA, , 19131, USA","2600 Belmont Ave, Philadelphia, PA 19131, USA",-75.2206491,39.9995559
191,395384,POCOPSON HOME,1695 LENAPE ROAD,WEST CHESTER,PA,19382,CHESTER,275,Government - County,*,11,5,2.19493,1.03347,0.50874,3.73714,"1695 LENAPE ROAD, WEST CHESTER, PA, , 19382, USA","1695 Lenape Rd, West Chester, PA 19382, USA",-75.65876589999999,39.9012819
192,395478,PHILADELPHIA NURSING HOME,GIRARD AND CORINTHIAN AVE,PHILADELPHIA,PA,19130,PHILADELPHIA,402,Government - County,31,118,7,2.14801,0.7155699999999999,0.72944,3.59303,"GIRARD AND CORINTHIAN AVE, PHILADELPHIA, PA, , 19130, USA","Corinthian Ave & W Girard Ave, Philadelphia, PA 19130, USA",-75.1703364,39.9728636
193,395001,PASSAVANT RET & HEALTH CTR,105 BURGESS DRIVE,ZELIENOPLE,PA,16063,BUTLER,102,Non profit - Church related,0,0,0,2.76361,0.5888100000000001,1.3687200000000002,4.72114,"105 BURGESS DRIVE, ZELIENOPLE, PA, , 16063, USA","105 Burgess Dr, Zelienople, PA 16063, USA",-80.1384097,40.7894221
194,395003,QUALITY LIFE SERVICES - NEW CASTLE,520 FRIENDSHIP STREET,NEW CASTLE,PA,16101,LAWRENCE,204,For profit - Partnership,0,0,0,2.0284,1.06087,0.5985,3.687780000000001,"520 FRIENDSHIP STREET, NEW CASTLE, PA, , 16101, USA","520 Friendship St, New Castle, PA 16101, USA",-80.33797779999999,40.9907119
195,395006,ST. JOSEPH'S MANOR (A D/B/A ENTITY OF HRHS),1616 HUNTINGDON PIKE,MEADOWBROOK,PA,19046,MONTGOMERY,296,Non profit - Corporation,19,31,*,2.49307,0.69762,1.11109,4.30178,"1616 HUNTINGDON PIKE, MEADOWBROOK, PA, , 19046, USA","1616 Huntingdon Pike, Meadowbrook, PA 19046, USA",-75.08334119999999,40.1085245
196,395011,PLATINUM RIDGE CENTER FOR REHABILITATION AND HEALING,1050 BROADVIEW BOULEVARD,BRACKENRIDGE,PA,15014,ALLEGHENY,97,For profit - Corporation,*,*,0,2.00253,1.0074,0.6976600000000001,3.70759,"1050 BROADVIEW BOULEVARD, BRACKENRIDGE, PA, , 15014, USA","1050 Broadview Blvd, Brackenridge, PA 15014, USA",-79.74160859999999,40.6138369
197,395012,BROOKVIEW HEALTH CARE CENTER,2075 SCOTLAND AVENUE,CHAMBERSBURG,PA,17201,FRANKLIN,152,Non profit - Church related,0,0,0,2.15056,1.01723,0.46648,3.63427,"2075 SCOTLAND AVENUE, CHAMBERSBURG, PA, , 17201, USA","2075 Scotland Ave, Chambersburg, PA 17201, USA",-77.6334925,39.9574381
198,395013,ELDERCREST HEALTHCARE AND REHABILITATION CENTER,2600 WEST RUN ROAD,MUNHALL,PA,15120,ALLEGHENY,48,For profit - Corporation,0,*,0,1.85581,0.60737,0.97572,3.43889,"2600 WEST RUN ROAD, MUNHALL, PA, , 15120, USA","2600 W Run Rd, Munhall, PA 15120, USA",-79.90387969999999,40.39121799999999
199,395018,GOOD SHEPHERD HOME RAKER CENTER,601 ST JOHN STREET,ALLENTOWN,PA,18103,LEHIGH,99,Non profit - Corporation,No Data,No Data,No Data,3.44245,0.44817,1.43503,5.32565,"601 ST JOHN STREET, ALLENTOWN, PA, , 18103, USA","601 St John St, Allentown, PA 18103, USA",-75.4656966,40.5928021
200,395019,ARISTACARE AT MEADOW SPRINGS,845 GERMANTOWN PIKE,PLYMOUTH MEETING,PA,19462,MONTGOMERY,153,For profit - Partnership,*,10,*,2.68455,1.82914,0.61338,5.12707,"845 GERMANTOWN PIKE, PLYMOUTH MEETING, PA, , 19462, USA","845 Germantown Pike, Plymouth Meeting, PA 19462, USA",-75.295022,40.12446
201,395020,BAPTIST HOMES OF WESTERN PENNSYLVANIA,489 CASTLE SHANNON BLVD,PITTSBURGH,PA,15234,ALLEGHENY,126,Non profit - Corporation,*,0,0,2.50127,0.43058,1.16345,4.0953,"489 CASTLE SHANNON BLVD, PITTSBURGH, PA, , 15234, USA","489 Castle Shannon Blvd, Pittsburgh, PA 15234, USA",-80.0321067,40.37352449999999
202,395023,PHOEBE RICHLAND HEALTH CARE CENTER,108 SOUTH MAIN STREET,RICHLANDTOWN,PA,18955,BUCKS,143,Non profit - Corporation,*,0,0,2.09444,0.7218600000000001,0.7316199999999999,3.5479300000000005,"108 SOUTH MAIN STREET, RICHLANDTOWN, PA, , 18955, USA","108 S Main St, Richlandtown, PA 18955, USA",-75.3213784,40.4696086
203,395028,SQUIRREL HILL WELLNESS AND REHABILITATION CENTER,2025 WIGHTMAN STREET,PITTSBURGH,PA,15217,ALLEGHENY,178,For profit - Corporation,0,0,0,1.92664,0.94272,0.5656100000000001,3.43497,"2025 WIGHTMAN STREET, PITTSBURGH, PA, , 15217, USA","2025 Wightman St, Pittsburgh, PA 15217, USA",-79.92683439999999,40.4333935
204,395031,HAVEN PLACE,24 CREE DRIVE,LOCK HAVEN,PA,17745,CLINTON,90,Non profit - Corporation,0,0,0,2.19081,1.3756,0.75717,4.32357,"24 CREE DRIVE, LOCK HAVEN, PA, , 17745, USA","24 Cree Dr, Lock Haven, PA 17745, USA",-77.47022199999999,41.13189
205,395032,MCMURRAY HILLS MANOR,249 WEST MCMURRAY ROAD,MCMURRAY,PA,15317,WASHINGTON,115,Non profit - Corporation,0,0,0,2.02036,0.8988200000000001,0.59035,3.5095300000000003,"249 WEST MCMURRAY ROAD, MCMURRAY, PA, , 15317, USA","249 W McMurray Rd, Canonsburg, PA 15317, USA",-80.1342662,40.27473140000001
206,395034,VINCENTIAN HOME,111 PERRYMONT ROAD,PITTSBURGH,PA,15237,ALLEGHENY,212,Non profit - Corporation,0,0,*,2.39533,0.49249,0.78381,3.67164,"111 PERRYMONT ROAD, PITTSBURGH, PA, , 15237, USA","111 Perrymont Rd, Pittsburgh, PA 15237, USA",-80.02651519999999,40.5590415
207,395037,MANORCARE HEALTH SERVICES-KINGSTON COURT,2400 KINGSTON COURT,YORK,PA,17402,YORK,151,Non profit - Corporation,0,*,0,1.89361,0.7824300000000001,0.57581,3.25184,"2400 KINGSTON COURT, YORK, PA, , 17402, USA","2400 Kingston Ct, East York, PA 17402, USA",-76.677742,39.970322
208,395041,TWINBROOK HEALTHCARE AND REHABILITATION CENTER,3805 FIELD STREET,ERIE,PA,16511,ERIE,120,For profit - Corporation,0,0,0,1.71545,0.87395,0.53625,3.12566,"3805 FIELD STREET, ERIE, PA, , 16511, USA","3805 Field St, Erie, PA 16511, USA",-80.0148138,42.147357
209,395042,SAINT MARY'S EAST,607 EAST 26TH STREET,ERIE,PA,16504,ERIE,139,Non profit - Corporation,*,0,0,2.07214,0.64703,0.71543,3.4346,"607 EAST 26TH STREET, ERIE, PA, , 16504, USA","607 E 26th St, Erie, PA 16504, USA",-80.0589931,42.1164742
210,395044,OAKMONT CENTER FOR NURSING & REHABILITATION,26 ANN STREET,OAKMONT,PA,15139,ALLEGHENY,85,For profit - Corporation,No Data,No Data,No Data,1.97718,0.81843,0.76462,3.56023,"26 ANN STREET, OAKMONT, PA, , 15139, USA","26 Ann St, Oakmont, PA 15139, USA",-79.8451238,40.5203779
211,395045,"MOUNTAIN VIEW, A NURSING AND REHABILITATION CENTER",2050 TREVORTON ROAD,COAL TOWNSHIP,PA,17866,NORTHUMBERLAND,271,For profit - Partnership,0,0,0,1.99908,0.8625299999999999,0.39567,3.25728,"2050 TREVORTON ROAD, COAL TOWNSHIP, PA, , 17866, USA","2050 Trevorton Rd, Coal Township, PA 17866, USA",-76.5863966,40.7987045
212,395047,GREENLEAF NSG & CONV CENTER,400 SOUTH MAIN STREET,DOYLESTOWN,PA,18901,BUCKS,130,For profit - Corporation,5,*,*,1.9979,0.7755,0.60995,3.38336,"400 SOUTH MAIN STREET, DOYLESTOWN, PA, , 18901, USA","400 S Main St, Doylestown, PA 18901, USA",-75.12931739999999,40.3019178
213,395050,GARVEY MANOR,1037 SOUTH LOGAN BOULEVARD,HOLLIDAYSBURG,PA,16648,BLAIR,132,Non profit - Corporation,0,0,0,2.85801,1.15051,0.59969,4.60821,"1037 SOUTH LOGAN BOULEVARD, HOLLIDAYSBURG, PA, , 16648, USA","1037 S Logan Blvd, Hollidaysburg, PA 16648, USA",-78.3936879,40.4534245
214,395058,REST HAVEN-YORK,1050 SOUTH GEORGE STREET,YORK,PA,17403,YORK,159,For profit - Corporation,0,0,0,2.50373,1.2382799999999998,0.46934,4.21135,"1050 SOUTH GEORGE STREET, YORK, PA, , 17403, USA","1050 S George St, York, PA 17403, USA",-76.7200338,39.9446995
215,395066,JEFFERSON HILLS HEALTHCARE AND REHABILITATION CENTER,448 OLD CLAIRTON ROAD,CLAIRTON,PA,15025,ALLEGHENY,83,For profit - Corporation,0,*,0,1.71364,0.5849,0.6380399999999999,2.93658,"448 OLD CLAIRTON ROAD, CLAIRTON, PA, , 15025, USA","448 Old Clairton Rd, Clairton, PA 15025, USA",-79.946456,40.3061492
216,395067,GREEN RIDGE CARE CENTER,2741 BOULEVARD AVENUE,SCRANTON,PA,18509,LACKAWANNA,95,For profit - Corporation,0,0,0,1.91436,0.78592,0.59007,3.29034,"2741 BOULEVARD AVENUE, SCRANTON, PA, , 18509, USA","2741 Boulevard Ave, Scranton, PA 18509, USA",-75.6395096,41.4411034
217,395068,MANORCARE HEALTH SERVICES-PITTSBURGH,550 SOUTH NEGLEY AVENUE,PITTSBURGH,PA,15232,ALLEGHENY,197,Non profit - Corporation,*,47,*,2.13137,0.67037,0.60116,3.4029,"550 SOUTH NEGLEY AVENUE, PITTSBURGH, PA, , 15232, USA","550 S Negley Ave, Pittsburgh, PA 15232, USA",-79.9331405,40.4551244
218,395080,PHOEBE ALLENTOWN HEALTH CARE CENTER,1925 TURNER STREET,ALLENTOWN,PA,18104,LEHIGH,395,Non profit - Corporation,*,*,0,2.27065,0.83211,0.5894699999999999,3.69223,"1925 TURNER STREET, ALLENTOWN, PA, , 18104, USA","1925 W Turner St, Allentown, PA 18104, USA",-75.4992595,40.5986391
219,395090,WINDBER WOODS SENIOR LIVING & REHABILITATION CENTER,277 HOFFMAN AVENUE,WINDBER,PA,15963,SOMERSET,127,Non profit - Corporation,0,0,0,2.17028,1.01226,0.64283,3.82536,"277 HOFFMAN AVENUE, WINDBER, PA, , 15963, USA","277 Hoffman Ave, Windber, PA 15963, USA",-78.8496061,40.2417598
220,395092,MEADOW VIEW HEALTHCARE AND REHABILITATION CENTER,225 PARK STREET,MONTROSE,PA,18801,SUSQUEHANNA,63,For profit - Corporation,No Data,No Data,No Data,1.83814,0.5579,0.63974,3.03578,"225 PARK STREET, MONTROSE, PA, , 18801, USA","225 Park St, Montrose, PA 18801, USA",-75.8860122,41.8258495
221,395101,SAYRE HEALTH CARE CENTER,151 KEEFER LANE,SAYRE,PA,18840,BRADFORD,90,For profit - Corporation,0,0,0,1.85691,1.00583,0.52298,3.38571,"151 KEEFER LANE, SAYRE, PA, , 18840, USA","151 Keefer Ln, Sayre, PA 18840, USA",-76.5773933,41.9862492
222,395105,MOSSER NURSING HOME,1175 MOSSER ROAD,TREXLERTOWN,PA,18087,LEHIGH,60,Non profit - Corporation,6,19,*,2.14526,0.45328,1.03388,3.63243,"1175 MOSSER ROAD, TREXLERTOWN, PA, , 18087, USA","1175 Mosser Rd, Trexlertown, PA 18087, USA",-75.6103177,40.5459468
223,395108,"CROSS KEYS VILLAGE - BRETHREN HOME COMMUNITY, THE","BOX 128, 2990 CARLISLE PK",NEW OXFORD,PA,17350,ADAMS,270,Non profit - Church related,8,*,0,2.73012,1.45756,0.60326,4.79094,"BOX 128, 2990 CARLISLE PK, NEW OXFORD, PA, , 17350, USA","2990 Carlisle Pike, New Oxford, PA 17350, USA",-77.02671289999999,39.8690699
224,395109,BEAVER HEALTHCARE AND REHABILITATION CENTER,616 GOLF COURSE ROAD,ALIQUIPPA,PA,15001,BEAVER,67,For profit - Corporation,0,0,0,1.93082,0.25522,1.14439,3.33042,"616 GOLF COURSE ROAD, ALIQUIPPA, PA, , 15001, USA","616 Golf Course Rd, Aliquippa, PA 15001, USA",-80.2952372,40.60681599999999
225,395118,QUALITY LIFE SERVICES - CHICORA,"DONEGAL TOWNSHIP, BOX Q",CHICORA,PA,16025,BUTLER,114,For profit - Partnership,0,0,0,2.14153,0.84835,0.5482600000000001,3.5381400000000003,"DONEGAL TOWNSHIP, BOX Q, CHICORA, PA, , 16025, USA","400 Chicora Fenelton Rd, Chicora, PA 16025, USA",-79.74397929999999,40.9276293
226,395135,PENNYPACK NURSING AND REHABILITATION CENTER,8015 LAWNDALE AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,54,For profit - Partnership,0,0,0,1.63685,1.01053,0.8415,3.4888800000000004,"8015 LAWNDALE AVENUE, PHILADELPHIA, PA, , 19111, USA","8015-21 Lawndale Ave, Philadelphia, PA 19111, USA",-75.0704854,40.0712126
227,395142,"GARDENS AT BLUE RIDGE, THE",3625 NORTH PROGRESS AVE,HARRISBURG,PA,17110,DAUPHIN,95,For profit - Corporation,18,35,*,1.68599,0.93077,0.59943,3.21619,"3625 NORTH PROGRESS AVE, HARRISBURG, PA, , 17110, USA","3625 N Progress Ave, Harrisburg, PA 17110, USA",-76.85628559999999,40.31911059999999
228,395146,CANTERBURY PLACE,310 FISK STREET,PITTSBURGH,PA,15201,ALLEGHENY,115,Non profit - Corporation,0,0,0,2.48487,0.3974,1.6491,4.53137,"310 FISK STREET, PITTSBURGH, PA, , 15201, USA","310 Fisk St, Pittsburgh, PA 15201, USA",-79.9584809,40.4662716
229,395158,"GROVE AT GREENVILLE, THE",110 FREDONIA ROAD,GREENVILLE,PA,16125,MERCER,154,For profit - Corporation,0,0,0,1.53863,1.15928,0.5465399999999999,3.24445,"110 FREDONIA ROAD, GREENVILLE, PA, , 16125, USA","110 Fredonia Rd, Greenville, PA 16125, USA",-80.3577079,41.3936325
230,395160,"ORCHARDS OF SAXONBURG, LLC",223 PITTSBURGH ST,SAXONBURG,PA,16056,BUTLER,68,For profit - Corporation,0,0,0,0.98649,0.70125,0.72924,2.41698,"223 PITTSBURGH ST, SAXONBURG, PA, , 16056, USA","223 Pittsburgh St, Saxonburg, PA 16056, USA",-79.8134778,40.7459705
231,395164,ST. JOHN SPECIALTY CARE CTR,P O BOX 928  500 WITTENBERG WAY,MARS,PA,16046,BUTLER,268,Non profit - Corporation,0,0,0,2.11869,0.66964,1.18042,3.96875,"P O BOX 928  500 WITTENBERG WAY, MARS, PA, , 16046, USA","500 Wittenberg Way, Mars, PA 16046, USA",-80.0138838,40.6937627
232,395166,AVENTURA AT PEMBROOKE,1130 WEST CHESTER PIKE,WEST CHESTER,PA,19380,CHESTER,180,For profit - Corporation,No Data,No Data,No Data,1.8638,0.74445,0.40234,3.01058,"1130 WEST CHESTER PIKE, WEST CHESTER, PA, , 19380, USA","1130 West Chester Pike, West Chester, PA 19382, USA",-75.5693805,39.96847320000001
233,395168,COLONIAL MANOR NURSING HOME,970 COLONIAL AVENUE,YORK,PA,17403,YORK,270,For profit - Corporation,0,0,0,1.85002,1.06509,0.6086199999999999,3.52374,"970 COLONIAL AVENUE, YORK, PA, , 17403, USA","970 Colonial Ave, York, PA 17403, USA",-76.7409567,39.9411335
234,395172,"MANOR AT PENN VILLAGE, THE",51 ROUTE 204,SELINSGROVE,PA,17870,SNYDER,159,For profit - Corporation,0,0,0,1.80362,1.0889,0.3695,3.26202,"51 ROUTE 204, SELINSGROVE, PA, , 17870, USA","51 PA-204, Selinsgrove, PA 17870, USA",-76.86745669999999,40.81030519999999
235,395174,ABINGTON CREST HEALTHCARE AND REHABILITATION CENTER,1267 SOUTH HILL ROAD,ERIE,PA,16509,ERIE,80,For profit - Corporation,0,0,0,1.75773,0.66773,0.8686299999999999,3.29409,"1267 SOUTH HILL ROAD, ERIE, PA, , 16509, USA","1267 S Hill Rd, Erie, PA 16509, USA",-80.0739657,42.0656937
236,395180,CORNWALL MANOR,BOYD STREET,CORNWALL,PA,17016,LEBANON,96,Non profit - Corporation,5,11,*,3.08619,1.06748,0.8317100000000001,4.98537,"BOYD STREET, CORNWALL, PA, , 17016, USA","Boyd St, Cornwall, PA 17016, USA",-76.40613139999999,40.2717573
237,395194,FOX SUBACUTE CENTER,2644 BRISTOL ROAD,WARRINGTON,PA,18976,BUCKS,60,For profit - Corporation,*,0,0,2.60961,1.30475,1.7799599999999998,5.6943199999999985,"2644 BRISTOL ROAD, WARRINGTON, PA, , 18976, USA","2644 Bristol Rd, Warrington, PA 18976, USA",-75.141723,40.25559459999999
238,395197,"GROVE AT NEW WILMINGTON, THE",520 NEW CASTLE STREET,NEW WILMINGTON,PA,16142,LAWRENCE,115,For profit - Corporation,*,0,0,1.94755,1.07176,0.60841,3.62773,"520 NEW CASTLE STREET, NEW WILMINGTON, PA, , 16142, USA","520 S New Castle St, New Wilmington, PA 16142, USA",-80.33654179999999,41.1147041
239,395200,WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,4850 ZUCK ROAD,ERIE,PA,16506,ERIE,115,For profit - Corporation,*,0,0,1.85043,0.93847,0.67374,3.46264,"4850 ZUCK ROAD, ERIE, PA, , 16506, USA","4850 Zuck Rd, Erie, PA 16506, USA",-80.1211541,42.0711432
240,395202,BROOMALL MANOR,43 CHURCH LANE,BROOMALL,PA,19008,DELAWARE,123,For profit - Corporation,7,28,*,1.62668,0.8841399999999999,0.56415,3.07497,"43 CHURCH LANE, BROOMALL, PA, , 19008, USA","43 Church Ln, Broomall, PA 19008, USA",-75.3568402,39.9828973
241,395206,SARAH REED SENIOR LIVING,227 WEST 22ND STREET,ERIE,PA,16502,ERIE,106,Non profit - Corporation,*,*,0,3.82162,1.24548,0.6187600000000001,5.68586,"227 WEST 22ND STREET, ERIE, PA, , 16502, USA","227 W 22nd St, Erie, PA 16502, USA",-80.0802944,42.113127
242,395208,BELAIR HEALTHCARE AND REHABILITATION CENTER,100 LITTLE ROAD,LOWER BURRELL,PA,15068,WESTMORELAND,103,For profit - Corporation,0,0,0,1.6774099999999998,0.68379,0.72748,3.08868,"100 LITTLE ROAD, LOWER BURRELL, PA, , 15068, USA","100 Little Dr, New Kensington, PA 15068, USA",-79.737172,40.582963
243,395221,DONAHOE MANOR,136 DONAHOE MANOR ROAD,BEDFORD,PA,15522,BEDFORD,72,For profit - Corporation,0,0,0,1.64624,0.8076,0.83375,3.28759,"136 DONAHOE MANOR ROAD, BEDFORD, PA, , 15522, USA","136 Donahoe Manor Rd, Bedford, PA 15522, USA",-78.4904822,40.0138015
244,395228,COLE PLACE,1001 EAST SECOND STREET,COUDERSPORT,PA,16915,POTTER,44,Non profit - Corporation,0,0,0,2.39213,0.83186,0.90745,4.13145,"1001 EAST SECOND STREET, COUDERSPORT, PA, , 16915, USA","1001 E 2nd St, Coudersport, PA 16915, USA",-77.9798103,41.77182759999999
245,395231,HERMITAGE NURSING AND REHABILITATION,500 CLARKSVILLE ROAD,HERMITAGE,PA,16148,MERCER,105,For profit - Partnership,0,0,0,1.96102,1.15085,0.52491,3.63678,"500 CLARKSVILLE ROAD, HERMITAGE, PA, , 16148, USA","500 Clarksville Rd, Hermitage, PA 16148, USA",-80.4684821,41.2399874
246,395232,"HOSPITALITY CARE CENTER OF HERMITAGE, INC.",3726 EAST STATE STREET,HERMITAGE,PA,16148,MERCER,33,For profit - Corporation,No Data,No Data,No Data,1.69179,0.94357,0.7741600000000001,3.40951,"3726 EAST STATE STREET, HERMITAGE, PA, , 16148, USA","3726 E State St, Hermitage, PA 16148, USA",-80.4413879,41.2336556
